ID,HEADWORD,POS,ENGLISH,JAPANESE,SPANISH,INDONESIAN,EXAMPLE (KO),EXAMPLE (EN),EXAMPLE (JA),EXAMPLE (ES),EXAMPLE (ID),
296,뛰다,VERB,to run,走る,correr,berlari,운동장에서 뛰고 있는 저 여자 애 말이야?,You mean the girl running on the playground?,運動場で走っているあの女の子?,¿Te refieres a esa muchacha que esta corriendo en el campo de deportes?,Yang kamu maksud gadis yang sedang berlari di taman bermain?,
297,뜨겁다,ADJ,to be hot,熱い,caliente,panas,뜨거운 물 좀 주세요.,Please give me some hot water.,熱いお湯ちょっとください。,Por favor deme un poco de agua caliente.,Tolong beri saya air panas,
298,뜻,NOUN,meaning ,意味,significar,arti,이 단어 뜻 알아?,Do you know this word's meaning?,この単語意味分かる?,¿Sabes el significado de esta palabra?,Apakah anda tahu arti kata ini?,
299,라디오,NOUN,radio,ラジオ,radio,radio,라디오를 켜라.,Turn the radio on.,ラジオをつけなさい。,Girar la radio.,Nyalakan radionya.,
300,라면,NOUN,ramen (instant noodle),ラーメン,ramion,ramen (mi instant),라면 한 그릇 어때?,How about a bowl of ramen?,ラーメン一杯どう?,¿Cómo sobre un tazón de fuente de ramion?,Bagaimana dengan semangkuk ramen?,
301,러시아,NOUN,Russia,ロシア,Rusia, Rusia,내년에 발레 배우러 러시아에 갈 거야.,I am going to Russia to learn ballet next year.,来年バレーを学びにロシアへ行くつもりだ。,Voy a Rusia a aprender ballet clásico el año próximo.,Saya akan pergi kew Rusia untuk belajar ballet tahun depan.,
302,마리,NOUN,unit of counting animals,匹,unidad para contar animales,ekor (satuan untuk menghitung hewan),고기 몇 마리 잡았어?,How many fishes did you catch?,魚何匹釣った?,¿Cuántos pescados cogiste?,Berapa ekor ikan yang kamu tangkap?,
303,마시다,VERB,to drink,飲む,beber,minum,마실 것 좀 드릴까요?,Can I get you something to drink?,飲み物差し上げましょうか?,¿Puedo conseguirte algo para beber?,Bisa saya ambilkan minuman? ,
304,마음,NOUN,"mind, heart",心,"alma, opinión","pikiran, hati",바다에 도착하면 마음이 바뀔지도 몰라.,You may change your mind when you get to the sea.,海に到着したら心が代わるかも知れない,Puedes cambiar de opinión cuando llegues al mar.,Anda mungkin berubah pikiran ketika anda tiba dilaut. ,
305,마지막,NOUN,the last,"終り, 最後","último, final",terakhir,이번 달 마지막 날이야.,It's the last day of this month.,今月の最後日だ。,Es el último día de este mes.,Ini hari terakhir pada bulan ini.,
306,마치다,VERB,"to end, to finish",終える,"acabar, terminar, finalizar",menyelesaikan,이 일을 마치는 데 3일이 걸릴 거야.,It will take three days to finish this work.,この事を終えるのに3日かかるだろう。,Tomará tres días para acabar este trabajo.,Akan memakan waktu tiga hari untuk menyelesaikan pekerjaan ini.,
307,막다,VERB,to block,防ぐ,"bloquear, tapar",menghalangi,길을 막고 거기 서 있지 마라.,Don't stand there blocking the gateway.,道を防いでそこに立つな。,No estar parado allí bloqueando la entrada.,Jangan berdiri disana menghalangi pintu gerbang.,
308,만나다,VERB,to meet,会う,encontrarse (con) ,bertemu,언제 만날까?,When would you like to meet?,いつ会おうか?,¿Cúando nos podemos ver?,Kapan anda ingin bertemu?,
309,만들다,VERB,to make,作る,"hacer, crear",membuat,나는 밸런타인데이 선물을 직접 만들려고 생각 중이야.,I am thinking about making a Valentine's day present myself.,私はバレンタインデーのプレゼントを直接作ろうと思っているところ。,Estoy pensando preparar yo mismo el regalo para San Valentín.,Saya sedang berpikir tentang membuat hadiah valentine untuk saya sendiri.,
310,많다,ADJ,"to be many, to be much",多い,haber mucho,banyak ,우리는 공통점이 많다.,We have much in common.,私たちは共通点が多い。,Tenemos mucho en común.,Kami mempunyai banyak persamaan.,
311,많이,ADV,"much, a lot","多く, たくさん",mucho,banyak,운동 많이 하세요?,Do you work out a lot?,運動たくさんしますか?,¿Haces mucho deporte?,Apakah anda banyak berlatih?,
312,말 ,NOUN,horse,馬,caballo,kuda,에쿠우스는 라틴어로 말이라는 뜻이다.,Equus means horse in Latin.,エクウスはラテン語で馬という意味だ。,Equus significa caballo en latín.,Dalam bahasa Latin equus berarti kuda.,
313,말  | 말하다,NOUN | VERB,"word, speech | to say",言葉 | 言う,"decir, hablar",,그렇게 말하지 마.,Don't say that.,そんな風に言わないで。,No diga eso.,Jangan katakan itu,
314,말다,VERB,"to stop; do not, must not (in imperative sentences)",やめる， しないで,"parar, dejar",berhenti,걱정 말고 좀 쉬어.,Stop worrying and take a break.,心配せずにちょっと休んで。,Deja de preocuparte y descansa.,Berhentilah cemas dan istirahatlah. ,
315,말씀 | 말씀하다,NOUN | VERB,"word, speech (honorific of 말) | to say",お話 | おっしゃる,"palabra; decir, hablar","kata, pidatosebutan penghormatan untuk 말); berkata",진작 말씀하시지 그러셨어요.,You should have said it earlier.,とうにおっしゃったら良かったんです。,Me lo hubiese dicho anteriormente.,Anda seharusnya mengatakan lebih awal.,
316,맑다,ADJ,"to be clear, to be pure",清い,"claro, puro",bersih,물과 공기가 맑은 곳이 살기 좋다.,It is good to live where the water and air are clear.,水と空気の清い所が住みよい。,Es bueno vivir en un ambiente donde el agua y el aire son puros. ,Baik untuk tinggal dimana air dan udaranya bersih.,
317,맛,NOUN,"taste, flavor",味,sabor,rasa,맛이 어때?,How's the taste?,味どう?,¿Cómo es el sabor?,Bagaimana rasanya?,
318,맛없다,ADJ,to taste bad,まずい,"mal gusto, feo",tidak enak,라면을 너무 오래 두면 맛없어.,"If you let the ramen sit for too long, it tastes bad.",ラーメンをあまり長くほって置くとまずくなる。,"Si dejas el ramion por mucho tiempo, tiene mal gusto. ","Jika anda membiarkan ramen terlalu lama, rasanya tidak enak.",
319,맛있다,ADJ,to be delicious,おいしい,"delicioso, rico",enak,정말 맛있네요!,How delicious!,本当においしいですね!,¡Qué delicioso!,Enak sekali!,
320,맞다,"ADJ, VERB","to be right, to be correct",合う， 正しい; 当たる,"(estar)correcto, exacto",benar,3번이 맞다.,The correct answer is number 3.,3番が合ってる。,La respuesta correcta es el número 3.,Jawaban yang benar adalah nomor 3(tiga).,
321,맞추다,VERB,to adjust,合わせる,ajustar,meyesuaikan,한국 시간에 시계 맞췄어?,Did you adjust the clock to Korean time?,韓国時間に時計合わせたの?,¿Ajustaste el reloj al tiempo coreano?,Apakah anda sudah menyesuaikan jamnya dengan waktu korea?,
322,맞히다,VERB,"to guess correctly, to give a correct answer",当てる,"conjeturar, adivinar","menebak, jawaban benar",나는 두 문제 맞혔어.,I guessed two questions correctly.,私は二問当てた。,Respondí las dos preguntas correctamente.,Saya menebak dua pertanyaan dengan benar.,
323,맡다,VERB,"to take care of, to take on",引き受ける,"tomar, hacerse cargo de...",menangani,내가 이 일을 맡을게.,I'll take care of this job.,私がこの事を引き受ける。,Yo me haré cargo de este trabajo.,Saya akan menangani pekerjaan ini.,
324,매우,ADV,very,"非常に, とても",muy,"sangat, sekali",매우 추워요.,It's very cold.,非常に寒いです。,Es muy frío.,Dingin sekali.,
325,매일,"NOUN, ADV",everyday,毎日,"diario, todos los días",setiap hari,나는 매일 아침을 먹는다.,I have breakfast everyday.,私は毎日朝食を食べる。,Desayuno diario.,Saya sarapan setiap hari.,
326,맥주,NOUN,beer,ビール,tomar (bebida),bir,저는 맥주 마실래요.,I'll have a beer.,私はビール飲みます。,Tomaré una cerveza.,Saya akan minum bir.,
327,맵다,ADJ,"to be spicy, to be hot",辛い,picante,pedas,맵고 짠 음식은 몸에 좋지 않아요.,Spicy and salty foods are not good for the body.,辛くて塩辛い食べ物は体に良くないです。,Los alimentos picantes y salados no son buenos para el cuerpo.,Makanan asin dan pedas tidak baik untuk kesehatan,
328,머리,NOUN,head; brain; hair,頭; 髪,"cabeza, cabello",kepala;otak;rambut,머리를 부딪친 후로 머리가 자꾸 빠져요.,My hair has been falling out since I got hit on the head.,頭をぶつけて以来髪がしきりに抜けます。,Mi pelo ha estado cayendo desde que me di un golpe en la cabeza.,Rambut saya telah lama rontok sejak saya mendapat pukulan di kepala.,
329,먹다,VERB,to eat ,食べる,comer,makan,더 이상 못 먹겠어.,I can't eat anymore.,これ以上食べれない。,No puedo comer más.,Saya tidak bisa makan lagi.,
330,먼저,ADV,"first, earlier",先に,"primero, temprano","pertama, dulu (an), lebih awal",먼저 가.,Go first.,先に行け。,Ve primero. ,Silahkan duluan. ,
331,멀다,ADJ,to be far,遠い,estar lejos,jauh,여기서 멀지 않아.,It's not far from here.,ここから遠くない。,No está lejos de aquí.,Tidak jauh dari sini,
332,멀리,ADV,"far, far away",遠く,lejos,"jauh, jauh sekali",괜찮아. 그 사람 멀리 있어서 내 말 못 들을 거야.,No problem. She can't hear me because she's far away.,大丈夫。 その人は遠くにいるから私の声聞こえないよ。,Está todo bien. Ella no puede oirme porque está lejos de aquí.,Tidak masalah. Dia tidak bisa mendengar saya karena dia jauh sekali.,
333,메뉴,NOUN,menu,メニュー,menu,menu,여기 메뉴가 있습니다.,Here's the menu.,ここにメニューがあります。,Aquí está el menú.,Ini menunya.,
334,며칠,NOUN,a few days; date,何日; 数日,"algunos días, fecha",beberapa hari;tanggal,"그 사람 며칠에 떠났는지 아세요? - 글쎄요, 며칠 전인 것 같은데요.","Do you know when he left here? - Well, I think a few days ago.",その人何日に発ったのか御存知ですか?  - さあね、数日前のようだけど。,"¿Sabes cuando él se fue aquí? - No lo sé, pero  pienso que fue hace algunos días atrás.","Anda tahu kapan dia pergi dari sini? – Ya, Saya pikir beberapa hari yang lalu",
335,명,NOUN,person (unit of counting peolple),"名, 人",unidad para contar personas,orang (satuan untuk menghitung orang),여자가 두 명 있어요.,There are two girls there.,女が二人います。,Hay dos muchachas allí.,Ada tiga orang gadis disana.,
336,몇,DET,"some, several; how many, how old","いくつ, 何",varias,"beberapa; berapa banyak, berapa tahun",몇 가지 질문이 있는데요. 몇 살이세요? 형제는 몇이세요?,I have several questions. How old are you? How many brothers do you have?,いくつか質問があるんですが。 何才ですか？兄弟は何人ですか？,Tengo varias preguntas. ¿Qué edad tienes? ¿Cuántos hermanos tienes?,Saya mempunyai beberapa pertanyaan. Berapa tahun umur anda? Berapa banyak saudara yang anda punya? ,
337,모두,"NOUN, ADV",all,皆,todos,semua,이 시간이 모두 함께 모일 수 있는 좋은 기회야.,This time is a good chance to get all together.,この時間が皆一緒に集まることができる良い機会だ。,Esta vez es una buena ocasión de estar todos juntos.,Saat ini adalah kesempatan bagus untuk menyatukan semua bersama.,
338,모든,DET,"all, every","あらゆる, すべての",todo,"semua, setiap",모든 직원들이 다 알아요.,Every employee knows about it.,すべての職員が皆知っています。,Todos los empleados lo saben.,Setiap karyawan tahu tentang hal itu,
339,모르다,VERB,not to know,"分からない, 知らない","desconocer, no saber, no conocer",tidak mengenal,그 사람이 나를 모르는 게 분명했다.,It was clear that he did not know me.,その人が私を知らないのが明らかだった。,Estaba claro que él no me conocía.,Sangat jelas kalau dia tidak mengenal saya,
340,모습,NOUN,"figure, form",姿,"figura, forma","sosok, bentuk",그의 모습은 어둠 속으로 사라졌다.,His figure disappeared into the darkness.,彼の姿は闇の中に消えた。,Su figura desapareció en la oscuridad.,Sosoknya menghilang dalam kegelapan.,
341,모양,NOUN,"shape, form","模様, 形","forma, estructura",bentuk,이 물건들은 모양이 다르다.,These products are different in shape.,この品物は形が違う。,Estos productos son diferentes en forma.,Produk ini berbeda bentuk. ,
342,모으다,VERB,"to gather, to collect",集める,"recoger, juntar","berkumpul, mengumpulkan",언제부터 동전을 모았어요?,How long have you collected coins?,いつから小銭を集めましたか?,¿En cuánto tiempo has recogido las monedas?,Berapa lama anda telah mengumpulkan koin-koin?,
343,모이다,VERB,"to gather, to come together",集る,"juntar, reunir","berkumpul, berkumpul bersama",아이들이 놀이터에 모였다.,The children gathered on the playground.,子供達が遊び場に集まった。,Los niños están reunidos en el patio.,Anak-anak berkumpul di taman bermain,
344,모임,NOUN,meeting,集まり,reunión,"pertemuan, rapat",그 모임 참석할 거야?,Will you attend the meeting?,その集まり参加するつもり?,¿Assistirás a la reunión?,Apakah anda akan menghadiri rapat?,
345,모자,NOUN,"hat, cap",帽子,"casquillo, sombrero",topi,모자를 쓰고 있나요?,Is she wearing a cap?,帽子をかぶっているんですか?,¿Ella está usando un casquillo?,Apakah dia memakai topi?,
346,목,NOUN,neck,"首, 喉",cuello,leher,그 사람은 교통사고를 당해서 목에 깁스를 했다.,He was involved in a car accident and now his neck is in a cast.,その人は交通事故にあって首にギプスをした。,Él tiene su cuello vendado porque tuvo un accidente de tráfico. ,Dia terlibat dalam kecelakaan mobil itu dan sekarang lehernya sedang dibalut.,
347,목소리,NOUN,voice,声,voz,suara,나는 그녀의 아름다운 목소리를 잊을 수 없다.,I can’t forget her beautiful voice.,私は彼女の美しい声を忘れることができない。,No puedo olvidarme de su hermosa voz.,Saya tidak bisa lupa suara indahnya.,
348,목욕 | 목욕하다,NOUN | VERB,bath | to take a bath,お風呂 | 風呂に入る,baño; bañar,mandi,우리 아이들은 목욕하는 걸 좋아해.,My kids like taking a bath.,うちの子供達は風呂に入るのを好む。,A mis niños les gusta bañarse.,Anak-anak saya suka mandi.,
